               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1119,           0.0028705,                   0,           0.0035778,            0.004878,           0.0018482,          0.00028044,                 nan,                 nan,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.099131,           0.0039902,                   0,           0.0033898,            0.004878,           0.0017461,          0.00043631,                 nan,                 nan,                   0,            0.040334,           0.0065567,           0.0065567
                   2,            0.082117,           0.0049614,                   0,           0.0036276,           0.0073171,           0.0068089,           0.0039039,                 nan,                 nan,                   0,            0.010203,           0.0097584,           0.0097584
                   3,            0.066633,            0.005564,                   0,             0.17425,           0.0073171,           0.0074564,           0.0028015,                 nan,                 nan,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.054914,           0.0059679,                   0,             0.34358,           0.0073171,           0.0067788,           0.0046263,                 nan,                 nan,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.04857,           0.0056414,                   0,             0.71558,           0.0073171,           0.0072195,           0.0055529,                 nan,                 nan,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.047041,           0.0051561,                   0,              0.9166,           0.0073171,           0.0082663,           0.0068619,                 nan,                 nan,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.045007,           0.0052044,                   0,             0.96103,           0.0073171,           0.0080844,           0.0063637,                 nan,                 nan,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04133,           0.0044644,                   0,             0.92116,           0.0073171,           0.0089575,           0.0046428,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.043378,            0.004744,                   0,             0.95095,           0.0073171,            0.011259,           0.0083794,                 nan,                 nan,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.042398,           0.0043767,                   0,            0.092945,           0.0073171,            0.013265,             0.01028,                 nan,                 nan,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041938,           0.0043458,                   0,             0.97674,           0.0073171,            0.011561,           0.0060826,                 nan,                 nan,                   0,             0.00901,             0.00901,             0.00901
