               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09989,           0.0056809,                   0,               0.015,           0.0073171,           0.0066622,           0.0018389,                 nan,                 nan,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.065465,           0.0078673,                   0,             0.48783,           0.0073171,           0.0066622,           0.0035019,                 nan,                 nan,                   0,            0.040334,           0.0065567,           0.0065567
                   2,            0.050827,           0.0080122,                   0,             0.34373,           0.0073171,           0.0068067,           0.0044539,                 nan,                 nan,                   0,            0.010203,           0.0097584,           0.0097584
                   3,            0.043584,           0.0086687,                   0,             0.56758,           0.0073171,           0.0082663,           0.0065665,                 nan,                 nan,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.037887,            0.008067,                   0,             0.82025,           0.0073171,            0.011958,           0.0086183,                 nan,                 nan,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.03565,           0.0075652,                   0,             0.92183,           0.0073171,            0.016248,             0.01083,                 nan,                 nan,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034466,           0.0071478,                   0,             0.95565,           0.0073171,            0.027666,            0.020618,                 nan,                 nan,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.031187,           0.0064482,                   0,             0.94215,           0.0073171,            0.032703,            0.023378,                 nan,                 nan,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.029801,            0.005932,                   0,             0.97779,           0.0073171,            0.036166,             0.02685,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029151,           0.0059649,                   0,             0.97873,           0.0073171,            0.036166,             0.02028,                 nan,                 nan,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.02807,           0.0052554,                   0,             0.97566,           0.0073171,            0.044367,            0.031294,                 nan,                 nan,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02698,           0.0051716,                   0,              0.9805,           0.0073171,            0.032703,            0.021964,                 nan,                 nan,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026393,           0.0049716,                   0,             0.98006,           0.0073171,            0.042399,            0.036906,                 nan,                 nan,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.025886,           0.0049003,                   0,             0.97904,           0.0073171,            0.051748,            0.034658,                 nan,                 nan,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.02502,           0.0048401,                   0,             0.98054,           0.0073171,            0.054865,            0.047541,                 nan,                 nan,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.02526,           0.0049481,                   0,              0.9811,           0.0073171,            0.062536,            0.058358,                 nan,                 nan,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.023967,           0.0044512,                   0,             0.98245,           0.0073171,            0.053256,            0.047998,                 nan,                 nan,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023663,           0.0044485,                   0,             0.98287,           0.0073171,            0.040618,            0.040618,                 nan,                 nan,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.023316,           0.0043764,                   0,             0.98068,           0.0073171,            0.058427,            0.052584,                 nan,                 nan,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.022483,           0.0042543,                   0,             0.98326,           0.0073171,            0.072998,            0.063253,                 nan,                 nan,                   0,            0.008218,            0.008218,            0.008218
